tmdbId,vote_average,vote_count,popularity
34170,5.55,149,3.4438
12606,5.8,172,0.6352
4837,6.9,258,3.2883
12632,6.1,15,2.3426
18975,5.252,236,6.0099
11962,5.8,362,4.5415
2925,6.702,789,5.6789
3595,6.671,1971,8.0689
9308,5.448,213,3.058
18555,5.976,143,3.7407
12123,5.786,1153,3.6002
10830,7.168,4655,7.2877
3573,6.624,645,1.2465
10546,5.507,576,4.7909
18862,5.326,135,3.6934
31417,7.6,773,4.1423
9431,5.911,399,2.2726
47907,6.413,64,5.3509
10061,5.876,1536,2.6151
549,6.616,302,2.0658
10478,6.1,560,2.5699
238,8.684,22083,24.7687
11134,6.876,542,6.5434
9303,7.209,1025,4.5524
23945,5.203,86,1.8992
22479,6.067,90,2.8711
9054,4.84,156,5.1058
410921,3.333,3,2.0543
38955,5.74,98,1.9931
11015,6.01,577,3.8543
9306,4.902,540,4.0389
12559,5.679,195,4.3954
58770,5.7,114,2.6936
3587,5.786,238,4.8047
10723,5.707,610,4.0763
19004,6.2,398,4.2184
101230,3.714,7,0.8041
10987,5.155,1193,3.1399
44705,6.921,89,3.2303
20318,6.613,54,2.0691
26933,7.0,142,3.9998
27854,6.5,199,2.0651
981,7.587,933,2.4749
872,8.141,3355,5.858
2769,7.029,614,2.4442
13320,7.0,714,4.6781
164,7.632,4358,5.5573
426,8.155,6097,5.4443
567,8.3,6901,4.7073
3078,7.8,1339,1.2319
13528,7.504,528,3.1845
28288,6.917,138,5.0934
213,7.98,4328,3.5132
284,8.2,2506,12.4793
239,8.1,3710,4.7855
4808,7.7,1469,2.9396
289,8.156,5790,4.9417
963,7.707,1800,2.1734
11113,7.5,1381,4.3232
6620,7.513,1304,4.494
804,7.9,2175,3.7588
26531,6.671,120,3.3724
909,7.0,407,1.4559
630,7.591,5899,15.1222
770,7.925,4228,8.0354
31044,6.618,114,2.187
599,8.3,2792,2.7839
15,7.999,5813,3.9876
62,8.1,12162,10.7218
705,8.1,1625,6.2079
22490,7.1,168,4.7623
223,7.896,1894,2.1689
25670,7.0,421,4.1898
303,7.747,1680,3.2448
4174,7.416,935,1.5029
8356,7.353,491,3.3204
381,7.3,1616,4.7737
20758,6.991,217,5.1939
29376,7.1,223,3.3427
1859,7.495,410,3.7701
18299,7.0,326,3.6708
17281,6.246,331,2.8476
10907,7.488,815,5.411
